*LANG			
	&English	简体中文(&Simplified Chinese)	繁體中文(&Traditional Chinese)
	Ethereal(cannot be repaired)	无形的(无法修复)	無形的(無法修復)
	Sockets(%d/%d)	有凹槽(%d/%d)	有凹槽(%d/%d)
	%s's Ear	(%s)的耳朵	(%s)的耳朵
	Level %d	%d级	%d級
	Unidentified	未辨识	未辨識
*=======================角色装备信息UI			
	Sockets	孔	孔
	Iron Golem	金属石魔	金屬石魔
	Cube	方块	方塊
	Belt	腰带	腰帶
	Corpse	尸体	尸體
	Mercenary	雇佣兵	僱傭兵
	Name	姓名	姓名
	Type	类型	類型
	Exp.	经验	經驗
	Dead	死亡	死亡
	Double click to resume	双击还原物品	雙擊還原物品
	Recycle	回收站	回收站
*=======================角色基本信息UI			
	Basic Info	基本信息	基本信息
	Waypoints	小站	小站
	Missions	任务	任務
	Skills	技能	技能
	Mana	法力	法力
	Version	版本	版本
	Character	角色	角色
	Name	名字	名字
	Title	称谓	稱謂
	Weapon	武器	武器
	Last game time	最近游戏时间	最近遊戲時間
	Last position	最后位置	最後位置
	Level	等级	等級
	Experience	经验	經驗
	Level And Experience	等级与经验对照表	等級與經驗對照表
	Character Stats	人物基本属性	人物基本屬性
	Strength	力量	力量
	Dexterity	敏捷	敏捷
	Vitality	体力	體力
	Energy	精力	精力
	Stat Points	状态点剩余	狀態點剩餘
	Basic Value	基础值	基礎值
	Current	当前值	當前值
	Stamina	耐力	耐力
	Life	生命	生命
	Ladder	天梯	天梯
	Expansion	资料片	資料片
	Hardcore	专家级	專家級
	Died berfore	以前死过	以前死過
	Skill Points	技能点剩余	技能點剩餘
	Gold in person	身上金钱	身上金錢
	Gold in stash	箱子金钱	箱子金錢
*=======================对话框消息			
	"Character name format error\nLength:  2-15 chars\nContent: a-z,A-Z,-,_\nCaution: name string starts and ends with chars,\nonly one '-' or '_' is allowed"	"人物名字格式错误\n长度：2-15个字符\n包括：a-z,A-Z,-,_\n注意：名字必须以字母开头和结尾，\n中间只允许有一个'-'或'_'符号"	"人物名字格式錯誤\n長度：2-15個字符\n包括：a-z,A-Z,-,_\n注意：名字必須以字母開頭和結尾\n中間只允許有一個'-'或'_'符號"
	Character level is between 1-127	人物等级必须在1-127之间	人物等級必須在1-127之間
	"Strength, Energy, Dexterity, Vitality and Stat Points is between 0-1023\nLife, Mana and Stamina is between 0-8191\nSkill Points is between 0-255"	力量、敏捷、体力、精力和状态点数必须在0-1023之间\n耐力、生命和法力值必须在0-8191之间\n技能点数必须在0-255之间	力量、敏捷、體力、精力和狀態點數值必須在0-1023之間\n耐力、生命和法力值必須在0-8191之間\n技能點數值必須在0-255之間
	Too many golds in person or stash	身上或箱子的金钱数过多	身上或箱子的金錢數過多
	Please choose character class	请选择一种角色	請選擇一種角色
	Skill levels must be between 0-127	技能等级必须在0-127之间	技能等級必須在0-127之間
	(%c%c%c%c)Unrecognised Item Code	(%c%c%c%c)不能识别的物品代码	(%c%c%c%c)不可識別的物品代碼
	Unkown Item Quality: iQuality = %d	未知的物品等级：iQuality = %d	未知的物品等級：iQuality = %d
	Save the character %s ?	是否保存已打开的人物 %s ？	是否保存已打開的人物 %s  ？
	"Character name and file name are different, continue?"	人物名字与文件名不同，是否继续？	人物名字與文件名不同，是否繼續？
			
11	The file isn't in d2s format	文件不是正确的d2s格式	文件不是正確的d2s格式
	File length is incorrect	文件长度错误	文件長度錯誤
	Quest info data format error	任务数据格式错误	任務數據格式錯誤
	Waypoint info data format error	小站数据格式错误	小站數據格式錯誤
	Player Stats data format error	人物属性格式错误	人物屬性格式錯誤
	Player Skills data format error	人物技能格式错误	人物技能格式錯誤
	Item List data format error	物品列表格式错误	物品列表格式錯誤
	Item data format error	物品格式错误	物品格式錯誤
	Corpse data format error	尸体数据格式错误	尸體數據格式錯誤
	Mercenary data format error	雇佣兵数据格式错误	僱傭兵數據格式錯誤
	Golem data format error	Golem数据格式错误	Golem數據格式錯誤
	Ear level must be between 1 and 99	耳朵等级必须在1和99之间	耳朵等級必須在1和99之間
	Invalid character class	人物角色错误	人物角色錯誤
	Item drop level must be between 1 and 99	物品掉落等级必须在1和99之间	物品掉落等級必須在1和99之間
	Invalid item quality	物品质量错误	物品質量錯誤
	Invalid item subtype	物品子类错误	物品子類錯誤
	Personalized name format error\nRequirement: 1-15 regular characters	个性化名字格式错误\n要求：1-15个英文字符	個性化名字格式錯誤\n要求：1-15個英文字符
	Item defence must be between 10 and 2057	物品防御必须在10到2057之间	物品防禦必須在10到2057之間
	Item max durability must be between 0 and 255	物品最大耐久度必须在0到255之间	物品最大耐久度必須在0到255之間
	Item durability must be within max durability	物品耐久度必须在最大值范围内	物品耐久度必須在最大值範圍內
	Item sockets count must be within 6	物品最多只能有6个孔	物品最多只能有6個孔
	Quantity must be between 0 and 511	数量值必须在0到511之间	數量值必須在0到511之間
	Invalid monster name index	怪物名字索引错误	怪物名字所以錯誤
	Invalid first name index	物品名索引错误	物品名索引錯誤
	Invalid last name index	物品姓索引错误	物品姓索引錯誤
	Invalid prefix 1 index	物品前缀1索引错误	物品前綴1索引錯誤
	Invalid prefix 2 index	物品前缀2索引错误	物品前綴2索引錯誤
	Invalid prefix 3 index	物品前缀3索引错误	物品前綴3索引錯誤
	Invalid suffix 1 index	物品后缀1索引错误	物品後綴1索引錯誤
	Invalid suffix 2 index	物品后缀2索引错误	物品後綴2索引錯誤
	Invalid suffix 3 index	物品后缀3索引错误	物品後綴3索引錯誤
	Invalid set item name index	套装物品索引错误	套裝物品索引錯誤
	Invalid unique item name index	暗金物品索引错误	暗金物品索引錯誤
	Invalid magic prefix index	物品魔法前缀索引错误	物品魔法前綴索引錯誤
	Invalid magic suffix index	物品魔法后缀索引错误	物品魔法後綴索引錯誤
	Invalid mercenary type index	雇佣兵类型错误	僱傭兵類型錯誤
	Invalid mercenary name index	雇佣兵名字错误	僱傭兵名字錯誤
	Sockets must be enough for gems	物品孔数必须能容纳所有镶嵌的宝石	物品孔數必須能容納所有鑲嵌的寶石
*=======================Barbarian类型雇佣兵名字			
1	Khan	可汗	
	Klisk		
	Bors		
	Brom		
	Wiglaf		
	Hrothgar		
	Scyld		
	Healfdane		
	Heorogar		
	Halgaunt		
	Hygelac		
	Egtheow		
	Bohdan		
	Wulfgar		
	Hild		
	Heatholaf		
	Weder		
	Vikhyat		
	Unferth		
	Sigemund		
	Heremod		
	Hengest		
	Folcwald		
	Frisian		
	Hnaef		
	Guthlaf		
	Oslaf		
	Yrmenlaf		
	Garmund		
	Freawaru		
	Eadgils		
	Onela		
	Damien		
	Erfor		
	Weohstan		
	Wulf		
	Bulwye		
	Lief		
	Magnus		
	Klatu		
	Drus		
	Hoku		
	Kord		
	Uther		
	Ip		
	Ulf		
	Tharr		
	Kaelim		
	Ulric		
	Alaric		
	Ethelred		
	Caden		
	Elgifu		
	Tostig		
	Alcuin		
	Emund		
	Sigurd		
	Gorm		
	Hollis		
	Ragnar		
	Torkel		
	Wulfstan		
	Alban		
	Barloc		
	Bill		
	Theodoric		
*=======================Eastern Sorceror类型雇佣兵名字			
1	Barani		
	Jabari		
	Devak		
	Raldin		
	Telash		
	Ajheed		
	Narphet		
	Khaleel		
	Phaet		
	Geshef		
	Vanji		
	Haphet		
	Thadar		
	Yatiraj		
	Rhadge		
	Yashied		
	Jarulf		
	Flux		
	Scorch		
*=======================Desert Mercenary类型雇佣兵名字			
1	Alhizeer		
	Azrael		
	Ahsab		
	Chalan		
	Haseen		
	Razan		
	Emilio		
	Pratham		
	Fazel		
	Jemali		
	Kasim		
	Gulzar		
	Mizan		
	Leharas		
	Durga		
	Neeraj		
	Ilzan		
	Zanarhi		
	Waheed		
	Vikhyat		
*=======================Rogue Scouts类型雇佣兵名字			
1	Amplisa		
	Annor		
	Abhaya		
	Elly		
	Paige		
	Basanti		
	Blaise		
	Kyoko		
	Klaudia		
	Kundri		
	Kyle		
	Visala		
	Elexa		
	Floria		
	Fiona		
	Gwinni		
	Gaile		
	Hannah		
	Heather		
	Iantha		
	Diane		
	Isolde		
	Divo		
	Ithera		
	Itonya		
	Liene		
	Maeko		
	Mahala		
	Liaza		
	Meghan		
	Olena		
	Oriana		
	Ryann		
	Rozene		
	Raissa		
	Sharyn		
	Shikha		
	Debi		
	Tylena		
	Wendy		
*=======================雇佣兵类型名字			
	Scout - Normal - Fire Arrow		
	Scout - Normal - Cold Arrow		
	Scout - Nightmare - Fire Arrow		
	Scout - Nightmare - Cold Arrow		
	Scout - Hell - Fire Arrow		
	Scout - Hell - Cold Arrow		
	Mercenary - Normal - Combat		
	Mercenary - Normal - Defensive		
	Mercenary - Normal - Offensive		
	Mercenary - Nightmare - Combat		
	Mercenary - Nightmare - Defensive		
	Mercenary - Nightmare - Offensive		
	Mercenary - Hell - Combat		
	Mercenary - Hell - Defensive	沙漠雇佣兵 - 地狱 - 防御型	
	Mercenary - Hell - Offensive		
	Sorceror - Normal - Fire Spells		
	Sorceror - Normal - Cold Spells		
	Sorceror - Normal - Lightning Spells		
	Sorceror - Nightmare - Fire Spells		
	Sorceror - Nightmare - Cold Spells		
	Sorceror - Nightmare - Lightning Spells		
	Sorceror - Hell - Fire Spells		
	Sorceror - Hell - Cold Spells		
	Sorceror - Hell - Lightning Spells		
	Barbarian - Normal		
	Barbarian - Normal		
	Barbarian - Nightmare		
	Barbarian - Nightmare		
	Barbarian - Hell		
	Barbarian - Hell		
*=======================物品种类名字			
	General items	一般物品	一般物品
	Helmets	头盔	頭盔
	Helmets (Barbarian only)	野蛮人专用头盔	野蠻人專用頭盔
	Helmets (Druid only)	德鲁伊专用头盔	德魯伊專用頭盔
	Gloves	手套	手套
	Boots	鞋子	鞋子
	Belts	腰带	腰帶
	Armors	护甲	護甲
	Shields	盾牌	盾牌
	Shields (Paladin only)	圣骑士专用盾牌	聖騎士專用盾牌
	Shields (Necromancer only)	死灵法师专用盾牌	死靈法師專用盾牌
	Axes	斧头	斧頭
	Wands (Necromancer only)	死灵法师专用法杖	死靈法師專用法杖
	Clubs	棍棒	棍棒
	Scepters (Paladin only)	圣骑士专用杖	聖騎士專用杖
	Swords	刀剑	刀劍
	Knifes	飞刀	飛刀
	Javelins	标枪	標槍
	Spears	长矛	長矛
	Staffs (Sorceress only)	法师专用法杖	法師專用法杖
	Bows	弓弩	弓弩
	Poisons	毒药	毒藥
	Quest Items	任务物品	任務物品
	Claws (Assasin only)	刺客专用刀爪	刺客專用刀爪
	Orbs (Sorceress only)	法师专用球	法師專用球
	Bow and spears (Amazon only)	亚马逊专用弓和矛	亞馬遜專用弓和矛
*=======================物品质量名字			
	Low	白色低级	白色低級
	Normal	白色普通	白色普通
	High	白色高级	白色高級
	Magical	蓝色魔法	藍色魔法
	Set	绿色套装	綠色套裝
	Rare	黄金装备	黃金裝備
	Unique	暗金装备	暗金裝備
	Crafted	橙色合成	橙色合成
*=======================游戏难度			
	Normal	普通	普通
	Nightmare	恶梦	噩夢
	Hell	地狱	地獄
*=======================小站名字			
	Rogue Encampment	萝格营地	蘿格營地
	Cold Plains	冰冷之原	冰冷之原
	Stony Field	石块旷野	石塊曠野
	Dark Wood	黑暗森林	黑暗森林
	Black Marsh	黑色荒地	黑色荒地
	Outer Cloister	外侧回廊	外側迴廊
	Jail Level 1	监牢第一层	監牢第一層
	Inner Cloister	内侧回廊	内側迴廊
	Catacombs Level 2	地下墓穴第二层	地下墓穴第二層
	Lut Gholein	鲁.高因	魯.高因
	Sewers Level 2	下水道第二层	下水道第二層
	Dry Hills	干燥的高地	乾燥的高地
	Halls of the Dead Level 2	死亡之殿第二层	死亡之殿第二層
	Far Oasis	遥远的绿洲	遙遠的綠洲
	Lost City	遗失的城市	遺失的城市
	Palace Cellar Level 1 	皇宫监牢第一层	皇宮監牢第一層
	Arcane Sanctuary	神秘避难所	神秘避難所
	Canyon of the Magi	卫士的峡谷	衛士的峽谷
	Kurast Docktown	库拉斯特海港	庫拉斯特海港
	Spider Forest	蜘蛛森林	蜘蛛森林
	Great Marsh	庞大湿地	龐大濕地
	Flayer Jungle	剥皮森林	剝皮森林
	Lower Kurast	库拉斯特下层	庫拉斯特下層
	Kurast Bazaar	库拉斯特商场	庫拉斯特商場
	Upper Kurast	库拉斯特上层	庫拉斯特上層
	Travincal	崔凡克	崔凡克
	Durance of Hate Level 2	憎恨的囚牢第二层	憎恨的囚牢第二層
	The Pandemonium Fortress	群魔堡垒	群魔堡壘
	City of the Damned	神罚之城	神罰之城
	River of Flame	火焰之河	火焰之河
	Harrogath	哈洛加斯	哈洛加斯
	Rigid Highlands	冰冻高地	冰凍高地
	Arreat Plateau	亚瑞特高原	亞瑞特高原
	Crystalline Passage	水晶通道	水晶通道
	Glacial Trail	冰河路径	冰河路徑
	Halls of Anguish	痛苦之厅	痛苦之廰
	Tundra Wastelands	冰冻苔原	冰凍苔原
	The Ancients' way	远古之路	遠古之路
	The Worldstone Keep Level 2	世界之石要塞第二层	世界之石要塞第二層
*=======================任务名字			
	Den of Evil	邪恶洞穴	邪惡洞穴
	Sisters' Burial Grounds	修女埋骨之地	修女埋骨之地
	The Search for Cain	凯恩的搜索	凱恩的搜索
	The Forgotten Tower	遗忘之塔	遺忘之塔
	Tools of the Trade	交易的工具	交易的工具
	Sisters to the Slaughter	屠杀的修女	屠殺的修女
	Radament's Lair	罗达门特的巢穴	羅達門特的巢穴
	The Horadric Staff	赫拉迪克之杖	赫拉迪克之杖
	Tainted Sun	堕落的太阳	墮落的太陽
	Arcane Sanctuary	神秘避难所	神秘避難所
	The Summoner	召唤者	召喚者
	The Seven Tombs	七个古墓	七個古墓
	The Golden Bird	黄金鸟	黃金鳥
	Blade of the Old Religion	古代宗教之刃	古代宗教之刃
	Khalim's Will	克林姆的意志	克林姆的意志
	Lam Esen's Tome	蓝.依森的古书	藍.依森的古書
	The Blackened Temple	转为黑暗的神殿	轉爲黑暗的神殿
	The Guardian	守护者	守護者
	The Fallen Angel	堕落的天使	墮落的天使
	Hell's Forge	地狱熔炉	地獄熔爐
	Terror's End	恐怖的结局	恐怖的結局
	Siege on Harrogath	哈洛加斯围城战	哈洛加斯圍城戰
	Rescue on Mount Arreat	亚瑞特山的救援行动	亞瑞特山的救援行動
	Prison of Ice	冰之囚	冰之囚
	Betrayal of Harrogath	哈洛加斯的反叛行动	哈洛加斯的反叛行動
	Rite of Passage	通道的祭典	通道的祭典
	Eve of Destruction	毁灭的前夕	毀滅的前夕
	Moo Moo Farm	杀死母牛之王	殺死母牛之王
	Reset Stats Points	重置技能和属性点	重置技能和屬性點
*=======================通用技能名字			
	Attack	一般攻击	一般攻擊
	Kick	脚踢	腳踢
	Throw	投掷	投擲
	Unsummon	取消召唤	取消召喚
	Left Hand Throw	左手投掷	左手投擲
	Left Hand Swing	左手挥动	左手揮動
	Scroll of Identify	辨识卷轴	辨識卷軸
	Tome of Identify	辨识之书	辨識之書
	Scroll of Town Portal	回城卷轴	回城卷軸
	Tome of Town Portal	回城之书	回城之書
	Delirium	迪勒瑞姆	迪勒瑞姆
	An Evil Force	一股邪恶力量	一股邪惡力量
*=======================角色技能名字			
	Magic Arrow	魔法箭	魔法箭
	Fire Arrow	火焰箭	火焰箭
	Cold Arrow	冰箭	冰箭
	Multiple Shot	多重箭	多重箭
	Exploding Arrow	爆裂箭	爆裂箭
	Ice Arrow	急冻箭	急凍箭
	Guided Arrow	导引箭	導引箭
	Strafe	炮轰	砲轟
	Immolation Arrow	牺牲之箭	犧牲之箭
	Freezing Arrow	冻结之箭	凍結之箭
	Inner Sight	内视	内視
	Critical Strike	致命攻击	致命攻擊
	Dodge	闪避	閃避
	Slow Missiles	慢速箭	慢速箭
	Avoid	躲避	躲避
	Penetrate	刺入	刺入
	Dopplezon	诱饵	誘餌
	Evade	回避	迴避
	Valkyrie	女武神	女武神
	Pierce	穿刺	穿刺
	Jab	戳刺	戳刺
	Power Strike	威力一击	威力一擊
	Poison Javelin	毒枪	毒槍
	Impale	刺爆	刺爆
	Lightning Bolt	闪电球	閃電球
	Charged Strike	充能一击	充能一擊
	Plague Javelin	瘟疫标枪	瘟疫標槍
	Fend	击退	擊退
	Lightning Strike	闪电攻击	閃電攻擊
	Lightning Fury	闪电之怒	閃電之怒
	Fire Bolt	火弹	火彈
	Warmth	暖气	暖氣
	Inferno	地狱之火	地獄之火
	Blaze	炽烈之径	熾烈之徑
	Fire Ball	火球	火球
	Fire Wall	火墙	火墻
	Enchant	强化	強化
	Meteor	陨石	隕石
	Fire Mastery	支配之焰	支配之焰
	Hydra	九头海蛇	九頭海蛇
	Charged Bolt	充能弹	充能彈
	Static Field	静态力场	靜態力場
	Telekinesis	心灵传动	心靈傳動
	Nova	新星	新星
	Lightning	闪电	閃電
	Chain Lightning	连锁闪电	連鎖閃電
	Teleport	传送	傳送
	Thunder Storm	雷云风暴	雷云風暴
	Energy Shield	能量护盾	能量護盾
	Lightning Mastery	支配闪电	支配閃電
	Ice Bolt	冰弹	冰彈
	Frozen Armor	冰封装甲	冰封裝甲
	Frost Nova	霜之新星	霜之新星
	Ice Blast	冰风暴	冰風暴
	Shiver Armor	碎冰甲	碎冰甲
	Glacial Spike	冰尖柱	冰尖柱
	Blizzard	暴风雪	暴風雪
	Chilling Armor	寒冰装甲	寒冰裝甲
	Frozen Orb	冰封球	冰封球
	Cold Mastery	支配冰冷	支配冰冷
	Amplify Damage	伤害加深	傷害加深
	Dim Vision	微暗灵视	微暗靈視
	Weaken	削弱	削弱
	Iron Maiden	攻击反噬	攻擊反噬
	Terror	恐惧	恐懼
	Confuse	迷乱	迷亂
	Life Tap	偷取生命	偷取生命
	Attract	吸引	吸引
	Decrepify	衰老	衰老
	Lower Resist	降低抵抗	降低抵抗
	Teeth	牙	牙
	Bone Armor	白骨装甲	白骨裝甲
	Poison Dagger	淬毒匕首	淬毒匕首
	Corpse Explosion	尸体爆炸	屍體爆炸
	Bone Wall	骨墙	骨墻
	Poison Explosion	毒爆	毒爆
	Bone Spear	骨矛	骨矛
	Bone Prison	骨牢	骨牢
	Poison Nova	剧毒新星	劇毒新星
	Bone Spirit	白骨之魂	白骨之魂
	Skeleton Mastery	支配骷髅	支配骷髏
	Raise Skeleton	骷髅复苏	骷髏復甦
	Clay Golem	黏土石魔	黏土石魔
	Golem Mastery	支配石魔	支配石魔
	Raise Skeletal Mage	复苏骷髅法师	復甦骷髏法師
	Blood Golem	鲜血石魔	鮮血石魔
	Summon Resist	召唤反抗	召喚反抗
	Iron Golem	钢铁石魔	鋼鐵石魔
	Fire Golem	火焰石魔	火焰石魔
	Revive	重生	重生
	Sacrifice	牺牲	犧牲
	Smite	重击	重擊
	Holy Bolt	圣光弹	聖光彈
	Zeal	白热	白熱
	Charge	突击	突擊
	Vengeance	复仇	復仇
	Blessed Hammer	祝福之锤	祝福之鎚
	Conversion	转换	轉換
	Holy Shield	神圣之盾	神聖之盾
	Fist of the Heavens	天堂之拳	天堂之拳
	Might	力量	力量
	Holy Fire	圣火	聖火
	Thorns	刺针	刺針
	Blessed Aim	祝福瞄准	祝福瞄準
	Concentration	专注	專注
	Holy Freeze	神圣冰冻	神聖冰凍
	Holy Shock	神圣冲击	神聖衝擊
	Sanctuary	庇护所	庇護所
	Fanaticism	狂热	狂熱
	Conviction	信念	信念
	Prayer	祈祷	祈禱
	Resist Fire	抗火	抗火
	Defiance	反抗	反抗
	Resist Cold	抗冰冷	抗冰冷
	Cleansing	净化	淨化
	Resist Lightning	抵抗闪电	抵抗閃電
	Vigor	精力	精力
	Meditation	冥思	冥思
	Redemption	救赎	救贖
	Salvation	救助	救助
	Bash	重击	重擊
	Leap	跳跃	跳躍
	Double Swing	双手挥击	雙手揮擊
	Stun	击昏	擊昏
	Double Throw	双手投掷	雙手投擲
	Leap Attack	跳跃攻击	跳躍攻擊
	Concentrate	专心	專心
	Frenzy	狂乱	狂亂
	Whirlwind	旋风	旋風
	Berserk	狂战士	狂戰士
	Sword Mastery	支配长剑	支配長劍
	Axe Mastery	支配斧头	支配斧頭
	Mace Mastery	支配钉头锤	支配釘頭鎚
	Pole Arm Mastery	支配长棍	支配長棍
	Throwing Mastery	支配飞掷	支配飛擲
	Spear Mastery	支配长矛	支配長矛
	Increased Stamina	增加耐力	增加耐力
	Iron Skin	铁布衫	鉄布衫
	Increased Speed	加速	加速
	Natural Resistance	自然抵抗	自然抵抗
	Howl	狂嗥	狂嗥
	Find Potion	找寻药剂	找尋藥劑
	Taunt	嘲弄	嘲弄
	Shout	大叫	大叫
	Find Item	找寻物品	找尋物品
	Battle Cry	战嗥	戰嗥
	Battle Orders	战斗体制	戰鬥體制
	Grim Ward	残酷喝阻	殘酷嚇阻
	War Cry	战斗狂嗥	戰鬥狂嗥
	Battle Command	战斗指挥	戰鬥指揮
	Raven	乌鸦	烏鴉
	Plague Poppy	猛毒华藤	猛毒花藤
	Oak Sage	橡木智者	橡木智者
	Summon Spirit Wolf	召唤鬼狼	召喚鬼狼
	Cycle of Life	食尸藤	食屍藤
	Heart of Wolverine	狼獾之心	狼獾之心
	Summon Fenris	召唤狂狼	召喚狂狼
	Vines	太阳藤	太陽藤
	Spirit of Barbs	棘灵	棘靈
	Summon Grizzly	召唤灰熊	召喚灰熊
	Wearwolf	狼人变化	狼人變化
	Shape Shifting	变形术	變形朮
	Wearbear	熊人变化	熊人變化
	Feral Rage	野性狂暴	野性狂暴
	Maul	撞槌	撞鎚
	Rabies	狂犬病	狂犬病
	Fire Claws	焰爪	焰爪
	Hunger	饥饿	飢餓
	Shock Wave	震波	震波
	Fury	狂怒	狂怒
	Firestorm	火风暴	火風暴
	Molten Boulder	熔浆巨岩	熔漿巨岩
	Arctic Blast	极地风暴	極地風暴
	Eruption	火山爆	火山爆
	Cyclone Armor	飓风装甲	颶風裝甲
	Twister	镰鼬风	鎌鼬風
	Volcano	火山	火山
	Tornado	龙卷风	龍捲風
	Armageddon	毁天灭地	毀天滅地
	Hurricane	暴风	暴風
	Fire Trauma	火焰爆震	火焰爆震
	Shock Field	雷电网	雷電網
	Blade Sentinel	刃之守卫	刃之守衛
	Charged Bolt Sentry	电能守卫	電能守衛
	Wake of Fire Sentry	火焰复苏	火焰復甦
	Blade Fury	刃之怒	刃之怒
	Lightning Sentry	雷光守卫	雷光守衛
	Inferno Sentry	复苏狱火	復甦獄火
	Death Sentry	亡者守卫	亡者守衛
	Blade Shield	刀刃之盾	刀刃之盾
	Claw Mastery	支配利爪	支配利爪
	Psychic Hammer	心灵战锤	心靈戰鎚
	Quickness	加速	加速
	Weapon Block	武器格挡	武器格擋
	Cloak of Shadows	魔影斗篷	魔影斗篷
	Fade	能量消解	能量消解
	Shadow Warrior	影子战士	影子戰士
	Mind Blast	心灵爆震	心靈爆震
	Venom	毒牙	毒牙
	Shadow Master	影子大师	影子大師
	Tiger Strike	虎击	虎擊
	Dragon Talon	龙爪	龍爪
	Fists of Fire	焰拳	焰拳
	Dragon Claw	双龙爪	雙龍爪
